处警单编号	,报警原因	,处警结果	,事件编号	,用户编号	,单位负责人	,用户级别	,负责人手机	,口令	,用户名称	,用户地址	,事件类型	,事件描述	,报警时间	,报警位置	,接警时间	,接警员	,出警时间	,出警方式	,出警单位	,处警队负责人	,备注
2018062209253754686444173080	,215公司及指挥中心真警	,未处理事件，批量处警本栏	,2018062209325500080000000C56	,80000001C	,	,其他	,	,	,S_桥西区机主_02	,	,故障事件	,人工故障	,2018-06-22 09:32:55	,防区位置	,2018-06-22 09:33:26	,shlsj6	,	,保安队	,	,	,至少有3条应被处理	
2018062209205338442272419032	,215公司及指挥中心真警	,未处理事件，批量勾选	,2018062111500700080000010C83	,8000000C2	,解语花	,买断	,13600000005	,123456	,S-新华区-619edit	,S20180619测试新增用户	,故障事件	,人工故障	,2018-06-21 11:50:07	,三楼大厅	,2018-06-22 09:28:48	,shlsj6	,	,保安队	,	,	,处警	
2018062208384314367079463875	,215公司及指挥中心真警	,622处警单，215	,2018062208461600080000011144	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号，地址长点，看看显示。一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九	,警报	,人工报警	,2018-06-22 08:46:16	,D_龙岗区主机_0619_01 防区位置1	,2018-06-22 08:46:53	,shlsj6	,2018-06-22 08:47:31	,处警队	,出警单位	,处警人	,622处警单，215	
2018062116584560316522464949	,214指挥中心真警	,是出单也是真警	,2018062111501200080000010C11	,8000000C2	,解语花	,买断	,13600000005	,123456	,S-新华区-619edit	,S20180619测试新增用户	,故障事件	,人工故障	,2018-06-21 11:50:12	,三楼大厅	,2018-06-21 17:06:55	,shlsj6	,	,保安队	,	,	,	
2018062116553030066411731957	,216公司及指挥中心误报	,	,2018062111501600080000010C99	,8000000C2	,解语花	,买断	,13600000005	,123456	,S-新华区-619edit	,S20180619测试新增用户	,故障事件	,人工故障	,2018-06-21 11:50:16	,三楼大厅	,2018-06-21 17:03:40	,shlsj6	,	,保安队	,	,	,	
2018062116520517568698725088	,216公司及指挥中心误报	,处警结果	,2018062117000700080000011199	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号，地址长点，看看显示。一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九	,故障事件	,人工故障	,2018-06-21 17:00:07	,D_龙岗区主机_0619_01 防区位置1	,2018-06-21 17:00:14	,shlsj6	,2018-06-21 17:00:52	,联合处警	,出警单位	,处警人	,备注216 联合处警	
2018062116500417800292486772	,212公司出警误报	,处警结果	,2018062116580500080000010C86	,8000000C2	,解语花	,买断	,13600000005	,123456	,S-新华区-619edit	,S20180619测试新增用户	,警报	,人工报警	,2018-06-21 16:58:05	,三楼大厅	,2018-06-21 16:58:14	,shlsj6	,	,联合处警	,出警单位	,处警人	,备注212	
2018062115050459844542621167	,211公司出警真警	,修改过用户信息后添加处警单	,2018062110095000080000010C22	,8000000C2	,解语花	,买断	,13600000005	,123456	,S-新华区-619edit	,S20180619测试新增用户	,警报	,人工报警	,2018-06-21 10:09:50	,三楼大厅	,2018-06-21 15:13:14	,shlsj6	,	,处警队	,修改过用户信息后添加处警单	,修改过用户信息后添加处警单	,修改过用户信息后添加处警单	
2018062114182393244791110556	,211公司出警真警	,	,2018062111503700080000010C44	,	,	,	,	,	,	,	,故障事件	,人工故障	,2018-06-21 11:50:37	,三楼大厅	,2018-06-21 14:26:33	,shlsj6	,	,保安队	,	,	,	
2018062109423291419896613381	,211公司出警真警	,2018-06-21 09:50:19	,2018062109501900080000011183	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号，地址长点，看看显示。一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九	,警报	,人工报警	,2018-06-21 09:50:19	,D_龙岗区主机_0619_01 防区位置1	,2018-06-21 09:50:42	,shlsj6	,2609-03-13 04:18:21	,保安队	,	,	,有反馈处警单，预处理成核警单	
2018062109382875827975668327	,121技术试机	,当前处警单已反馈	,2018062109455500080000011143	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号，地址长点，看看显示。一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九	,警报	,人工报警	,2018-06-21 09:45:55	,D_龙岗区主机_0619_01 防区位置1	,2018-06-21 09:46:38	,shlsj6	,2609-03-13 04:18:21	,保安队	,	,	,有反馈处警单，预处理成核警单	
2018062109335242146142672286	,121技术试机	,2018-06-21 09:39:26	,2018062109392600080000010C61	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-21 09:39:26	,三楼大厅	,2018-06-21 09:42:01	,shlsj6	,2609-03-13 04:18:21	,保安队	,	,	,有反馈维修单，预处理成处警单	
2018062109244486667919949659	,215公司及指挥中心真警	,215，出单已反馈	,2018062109324400080000010C14	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-21 09:32:44	,三楼大厅	,2018-06-21 09:32:54	,shlsj6	,2609-03-13 04:18:21	,保安队	,	,	,有反馈处警单，预处理成维修单	
2018062109202597127448981375	,213指挥中心出警误报	,已处理维修单，当前处警单213	,2018062109271600080000010C29	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-21 09:27:16	,三楼大厅	,2018-06-21 09:28:35	,shlsj6	,	,保安队	,	,	,有已处理维修单，新增处警单	
2018062109125970944864075783	,211公司出警真警	,已处理核警单，当前处警单，211原214	,2018062109152700080000011188	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号，地址长点，看看显示。一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九	,警报	,人工报警	,2018-06-21 09:15:27	,D_龙岗区主机_0619_01 防区位置1	,2018-06-21 09:21:08	,shlsj6	,	,保安队	,	,	,有已处理核警单，新增处警单	
2018062109074332276542045191	,211公司出警真警	,有已处理处警单，当前处警单	,2018062109152200080000011149	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号，地址长点，看看显示。一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九	,警报	,人工报警	,2018-06-21 09:15:22	,D_龙岗区主机_0619_01 防区位置1	,2018-06-21 09:15:52	,shlsj6	,	,保安队	,	,	,有已处理处警单，再新增核警单	
2018062108422868666182127888	,211公司出警真警	,批量核警，事件类型	,2018062108492300080000011178	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号，地址长点，看看显示。一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九	,警报	,人工报警	,2018-06-21 08:49:23	,D_龙岗区主机_0619_01 防区位置1	,2018-06-21 08:50:01	,shlsj6	,	,联合处警	,	,	,批量核警，事件类型 显示	
2018062018004066534067616751	,215公司及指挥中心真警	,处警单215	,2018062018084300080000010C19	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-20 18:08:43	,三楼大厅	,2018-06-20 18:08:49	,shlsj6	,	,保安队	,	,	,有处警单和维修单	
